시간: 2025-06-05 01:12:55, 번호판: 6622117ACCXOYOZOvlt145VTmp50degVer
시간: 2025-06-06 01:29:21, 번호판: 131 (대상 차량 크기: 444x323)
시간: 2025-06-06 01:29:22, 번호판: 01600101 (대상 차량 크기: 443x322)
시간: 2025-06-06 01:29:22, 번호판: 21901 (대상 차량 크기: 444x324)
시간: 2025-06-06 01:29:23, 번호판: 647121 (대상 차량 크기: 441x324)
시간: 2025-06-06 01:29:23, 번호판: 64212 (대상 차량 크기: 441x325)
시간: 2025-06-06 01:29:24, 번호판: 64212 (대상 차량 크기: 441x327)
시간: 2025-06-06 01:33:36, 번호판: 761514 (대상 차량 크기: 403x320)
시간: 2025-06-06 01:33:39, 번호판: 159 (대상 차량 크기: 408x323)
시간: 2025-06-06 01:33:41, 번호판: 193 (대상 차량 크기: 413x324)
시간: 2025-06-06 01:36:30, 번호판: 202 (대상 차량 크기: 431x333)
시간: 2025-06-06 01:36:40, 번호판: 220 (대상 차량 크기: 431x329)
시간: 2025-06-06 01:36:42, 번호판: 290 (대상 차량 크기: 434x329)
시간: 2025-06-06 01:37:10, 번호판: 105689 (대상 차량 크기: 424x321)
시간: 2025-06-06 01:37:21, 번호판: 0229 (대상 차량 크기: 409x330)
시간: 2025-06-06 01:37:34, 번호판: 0596114 (대상 차량 크기: 356x308)
시간: 2025-06-06 01:37:35, 번호판: 4115 (대상 차량 크기: 350x304)
시간: 2025-06-06 01:37:37, 번호판: 215114 (대상 차량 크기: 353x295)
시간: 2025-06-06 01:37:51, 번호판: 0209 (대상 차량 크기: 321x231)
시간: 2025-06-06 01:37:53, 번호판: 1000 (대상 차량 크기: 314x235)
시간: 2025-06-06 01:37:54, 번호판: 6421511 (대상 차량 크기: 315x228)
시간: 2025-06-06 01:37:55, 번호판: 164415114 (대상 차량 크기: 314x225)
시간: 2025-06-06 01:37:59, 번호판: 645 (대상 차량 크기: 309x227)
시간: 2025-06-06 01:38:00, 번호판: 0000 (대상 차량 크기: 308x228)
시간: 2025-06-06 01:38:03, 번호판: 1641 (대상 차량 크기: 312x233)
시간: 2025-06-06 01:38:06, 번호판: 01914 (대상 차량 크기: 314x224)
시간: 2025-06-06 01:38:08, 번호판: 42151 (대상 차량 크기: 320x227)
시간: 2025-06-06 01:38:08, 번호판: 215114 (대상 차량 크기: 325x223)
시간: 2025-06-06 01:38:09, 번호판: 07151 (대상 차량 크기: 320x224)
시간: 2025-06-06 01:38:10, 번호판: 24215114 (대상 차량 크기: 320x225)
시간: 2025-06-06 01:38:14, 번호판: 022 (대상 차량 크기: 323x232)
시간: 2025-06-06 01:38:15, 번호판: 04411811 (대상 차량 크기: 327x229)
시간: 2025-06-06 01:38:16, 번호판: 700 (대상 차량 크기: 329x225)
시간: 2025-06-06 01:38:17, 번호판: 00050 (대상 차량 크기: 330x224)
시간: 2025-06-06 01:38:18, 번호판: 1000030 (대상 차량 크기: 327x228)
시간: 2025-06-06 01:38:18, 번호판: 06471514 (대상 차량 크기: 327x225)
시간: 2025-06-06 01:38:19, 번호판: 2050 (대상 차량 크기: 330x227)
시간: 2025-06-06 01:38:20, 번호판: 421511 (대상 차량 크기: 320x236)
시간: 2025-06-06 01:38:21, 번호판: 15205 (대상 차량 크기: 324x234)
시간: 2025-06-06 01:38:21, 번호판: 421511 (대상 차량 크기: 325x231)
시간: 2025-06-06 01:38:29, 번호판: 091 (대상 차량 크기: 341x309)
시간: 2025-06-06 01:38:31, 번호판: 090 (대상 차량 크기: 344x314)
시간: 2025-06-06 01:38:32, 번호판: 10001 (대상 차량 크기: 345x316)
시간: 2025-06-06 01:38:57, 번호판: 142 (대상 차량 크기: 362x333)
시간: 2025-06-06 01:38:59, 번호판: 1000 (대상 차량 크기: 380x322)
시간: 2025-06-06 01:39:00, 번호판: 155 (대상 차량 크기: 377x331)
시간: 2025-06-06 01:39:03, 번호판: 0090 (대상 차량 크기: 387x329)
시간: 2025-06-06 01:39:04, 번호판: 005 (대상 차량 크기: 387x327)
시간: 2025-06-06 01:39:05, 번호판: 290 (대상 차량 크기: 387x319)
시간: 2025-06-06 01:39:08, 번호판: 1201904 (대상 차량 크기: 391x316)
시간: 2025-06-06 01:39:10, 번호판: 105 (대상 차량 크기: 387x313)
시간: 2025-06-06 01:39:11, 번호판: 0001 (대상 차량 크기: 386x312)
시간: 2025-06-06 01:39:11, 번호판: 100751 (대상 차량 크기: 394x306)
시간: 2025-06-06 01:39:18, 번호판: 229 (대상 차량 크기: 396x322)
시간: 2025-06-06 01:39:20, 번호판: 64415114 (대상 차량 크기: 399x322)
시간: 2025-06-06 01:39:21, 번호판: 12390 (대상 차량 크기: 399x319)
시간: 2025-06-06 01:39:21, 번호판: 12959 (대상 차량 크기: 401x321)
시간: 2025-06-06 01:39:27, 번호판: 12990 (대상 차량 크기: 410x323)
시간: 2025-06-06 01:39:31, 번호판: 200 (대상 차량 크기: 409x314)
시간: 2025-06-06 01:39:38, 번호판: 2050 (대상 차량 크기: 413x304)
시간: 2025-06-06 01:39:49, 번호판: 1009 (대상 차량 크기: 389x302)
시간: 2025-06-06 01:40:01, 번호판: 1511 (대상 차량 크기: 336x227)
시간: 2025-06-06 01:40:05, 번호판: 12006 (대상 차량 크기: 327x230)
시간: 2025-06-06 01:40:06, 번호판: 06021 (대상 차량 크기: 320x231)
시간: 2025-06-06 01:40:07, 번호판: 6260 (대상 차량 크기: 318x236)
시간: 2025-06-06 01:40:08, 번호판: 10000 (대상 차량 크기: 320x225)
시간: 2025-06-06 01:40:09, 번호판: 70000 (대상 차량 크기: 318x227)
시간: 2025-06-06 01:40:10, 번호판: 10050 (대상 차량 크기: 318x227)
시간: 2025-06-06 01:40:10, 번호판: 0520 (대상 차량 크기: 321x227)
시간: 2025-06-06 01:40:11, 번호판: 10003 (대상 차량 크기: 317x224)
시간: 2025-06-06 01:40:12, 번호판: 6424 (대상 차량 크기: 316x227)
시간: 2025-06-06 01:40:13, 번호판: 64115114 (대상 차량 크기: 313x232)
시간: 2025-06-06 01:40:14, 번호판: 16416114 (대상 차량 크기: 310x233)
시간: 2025-06-06 01:40:16, 번호판: 43151 (대상 차량 크기: 311x233)
시간: 2025-06-06 01:40:17, 번호판: 1022 (대상 차량 크기: 311x233)
시간: 2025-06-06 01:40:17, 번호판: 170 (대상 차량 크기: 314x230)
시간: 2025-06-06 01:40:19, 번호판: 0020 (대상 차량 크기: 310x232)
시간: 2025-06-06 01:40:20, 번호판: 643036 (대상 차량 크기: 307x240)
시간: 2025-06-06 01:40:21, 번호판: 16065 (대상 차량 크기: 307x236)
시간: 2025-06-06 01:40:37, 번호판: 102 (대상 차량 크기: 315x211)
시간: 2025-06-06 01:40:39, 번호판: 140 (대상 차량 크기: 318x218)
시간: 2025-06-06 01:40:54, 번호판: 100 (대상 차량 크기: 315x247)
시간: 2025-06-06 01:40:54, 번호판: 1002 (대상 차량 크기: 316x247)
시간: 2025-06-06 01:40:55, 번호판: 2016114 (대상 차량 크기: 316x245)
시간: 2025-06-06 01:40:58, 번호판: 1123 (대상 차량 크기: 315x241)
시간: 2025-06-06 01:41:01, 번호판: 5431511 (대상 차량 크기: 312x245)
시간: 2025-06-06 01:41:03, 번호판: 289 (대상 차량 크기: 319x243)
시간: 2025-06-06 01:41:03, 번호판: 43120 (대상 차량 크기: 317x245)
시간: 2025-06-06 01:41:06, 번호판: 6430 (대상 차량 크기: 309x247)
시간: 2025-06-06 01:41:14, 번호판: 1659050 (대상 차량 크기: 299x249)
시간: 2025-06-06 01:41:18, 번호판: 6447200 (대상 차량 크기: 301x241)
시간: 2025-06-06 01:41:30, 번호판: 059 (대상 차량 크기: 309x239)
시간: 2025-06-06 01:42:09, 번호판: 642 (대상 차량 크기: 316x211)
시간: 2025-06-06 01:42:10, 번호판: 5412 (대상 차량 크기: 316x205)
시간: 2025-06-06 01:42:18, 번호판: 193 (대상 차량 크기: 316x253)
시간: 2025-06-06 01:42:20, 번호판: 20000 (대상 차량 크기: 315x256)
시간: 2025-06-06 01:42:30, 번호판: 0299 (대상 차량 크기: 319x247)
시간: 2025-06-06 01:42:30, 번호판: 009 (대상 차량 크기: 317x248)
시간: 2025-06-06 01:42:31, 번호판: 140 (대상 차량 크기: 319x247)
시간: 2025-06-06 01:42:31, 번호판: 009 (대상 차량 크기: 318x244)
시간: 2025-06-06 16:35:13, 번호판: 64아1511
시간: 2025-06-06 16:35:15, 번호판: 64가1511
시간: 2025-06-06 16:35:24, 번호판: 64가1511
시간: 2025-06-06 16:36:39, 번호판: 64가7151
시간: 2025-06-06 16:37:11, 번호판: 64가1511
시간: 2025-06-06 16:37:24, 번호판: 64가1511
시간: 2025-06-07 01:27:18, 번호판: 24가1511 (대상 차량 크기: 388x311)
시간: 2025-06-07 01:50:46, 번호판: 64가1571 (대상 차량 크기: 368x316)
시간: 2025-06-07 03:15:32, 번호판: 64가1511 (대상 차량 크기: 395x310)
시간: 2025-06-07 18:20:18, 번호판: 64가1511 (대상 차량 크기: 370x315)
번호판: 64가1511 (대상 차량 크기: 370x315)
번호판: 64가1511 (대상 차량 크기: 298x258)
